Mix	SeqDepth
SimData329	1000000
SimData33	1000000
SimData330	1000000
SimData331	2000000
SimData332	5000000
SimData333	10000000
SimData334	20000000
SimData335	50000000
SimData336	100000000
SimData337	1000000
SimData338	1000000
SimData339	1000000
SimData34	1000000
SimData340	1000000
SimData341	1000100
SimData342	1000090
SimData343	1000080
SimData344	1000070
SimData345	1000060
SimData346	1000050
SimData347	1000040
SimData348	2000080
SimData349	5000200
SimData35	1000100
SimData350	10000400
SimData351	20000800
SimData352	50002000
SimData353	100004000
SimData354	1000030
SimData355	1000020
SimData356	1000010
SimData357	1000000
SimData358	1000000
SimData359	1000000
SimData36	1000090
SimData360	1000000
SimData361	1000000
SimData362	1000000
SimData363	1000000
SimData364	1000000
SimData365	2000000
SimData366	5000000
SimData367	10000000
SimData368	20000000
SimData369	50000000
SimData37	1000080
SimData370	100000000
SimData371	1000000
SimData372	1000000
SimData373	1000000
SimData374	1000000
SimData375	1000100
SimData376	1000090
SimData377	1000080
SimData378	1000070
SimData379	1000060
SimData38	1000070
SimData380	1000050
SimData381	1000040
SimData382	2000080
SimData383	5000200
SimData384	10000400
SimData385	20000800
SimData386	50002000
SimData387	100004000
SimData388	1000030
SimData389	1000020
SimData39	1000060
SimData390	1000010
SimData391	1000000
SimData392	1000100
SimData393	1000090
SimData394	1000080
SimData395	1000070
SimData396	1000060
SimData397	1000050
SimData398	1000040
SimData399	2000080
SimData4	1000000
SimData40	1000050
SimData400	5000200
SimData401	10000400
SimData402	20000800
SimData403	50002000
SimData404	100004000
SimData405	1000030
SimData406	1000020
SimData407	1000010
SimData408	1000000
SimData409	999900
SimData41	1000040
SimData410	999910
SimData411	999920
SimData412	999930
SimData413	999940
SimData414	999950
SimData415	999960
SimData416	1999920
SimData417	4999800
SimData418	9999600
SimData419	19999200
SimData42	2000080
SimData420	49998000
SimData421	99996000
SimData422	999970
SimData423	999980
SimData424	999990
SimData425	1000000
SimData426	1000000
SimData427	1000000
SimData428	1000000
SimData429	1000000
SimData43	5000200
SimData430	1000000
SimData431	1000000
SimData432	1000000
SimData433	2000000
SimData434	5000000
SimData435	10000000
SimData436	20000000
SimData437	50000000
SimData438	100000000
SimData439	1000000
SimData44	10000400
SimData440	1000000
SimData441	1000000
SimData442	1000000
SimData443	1000000
SimData444	1000000
SimData445	1000000
SimData446	1000000
SimData447	1000000
SimData448	1000000
SimData449	1000000
SimData45	20000800
SimData450	2000000
SimData451	5000000
SimData452	10000000
SimData453	20000000
SimData454	50000000
SimData455	100000000
SimData456	1000000
SimData457	1000000
SimData458	1000000
SimData459	1000000
SimData46	50002000
SimData460	1000000
SimData461	1000000
SimData462	1000000
SimData463	1000000
SimData464	1000000
SimData465	1000000
SimData466	1000000
SimData467	2000000
SimData468	5000000
SimData469	10000000
SimData47	100004000
SimData470	20000000
SimData471	50000000
SimData472	100000000
SimData473	1000000
SimData474	1000000
SimData475	1000000
SimData476	1000000
SimData477	1000100
SimData478	1000090
SimData479	1000080
SimData48	1000030
SimData480	1000070
SimData481	1000060
SimData482	1000050
SimData483	1000040
SimData484	2000080
SimData485	5000200
SimData486	10000400
SimData487	20000800
SimData488	50002000
SimData489	100004000
SimData49	1000020
SimData490	1000030
SimData491	1000020
SimData492	1000010
SimData493	1000000
SimData494	999900
SimData495	999910
SimData496	999920
SimData497	999930
SimData498	999940
SimData499	999950
SimData5	1000000
SimData50	1000010
SimData500	999960
SimData501	1999920
SimData502	4999800
SimData503	9999600
SimData504	19999200
SimData505	49998000
SimData506	99996000
SimData507	999970
SimData508	999980
SimData509	999990
SimData51	1000000
SimData510	1000000
SimData511	1000000
SimData512	1000000
SimData513	1000000
SimData514	1000000
SimData515	1000000
SimData516	1000000
SimData517	1000000
SimData518	2000000
SimData519	5000000
SimData52	999900
SimData520	10000000
SimData521	20000000
SimData522	50000000
SimData523	100000000
SimData524	1000000
SimData525	1000000
SimData526	1000000
SimData527	1000000
SimData528	1000000
SimData529	1000000
SimData53	999910
SimData530	1000000
SimData531	1000000
SimData532	1000000
SimData533	1000000
SimData534	1000000
SimData535	2000000
SimData536	5000000
SimData537	10000000
SimData538	20000000
SimData539	50000000
SimData54	999920
SimData540	100000000
SimData541	1000000
SimData542	1000000
SimData543	1000000
SimData544	1000000
SimData545	1000000
SimData546	1000000
SimData547	1000000
SimData548	1000000
SimData549	1000000
SimData55	999930
SimData550	1000000
SimData551	1000000
SimData552	2000000
SimData553	5000000
SimData554	10000000
SimData555	20000000
SimData556	50000000
SimData557	100000000
SimData558	1000000
SimData559	1000000
SimData56	999940
SimData560	1000000
SimData561	1000000
SimData562	999900
SimData563	999910
SimData564	999920
SimData565	999930
SimData566	999940
SimData567	999950
SimData568	999960
SimData569	1999920
SimData57	999950
SimData570	4999800
SimData571	9999600
SimData572	19999200
SimData573	49998000
SimData574	99996000
SimData575	999970
SimData576	999980
SimData577	999990
SimData578	1000000
SimData579	1000100
SimData58	999960
SimData580	1000090
SimData581	1000080
SimData582	1000070
SimData583	1000060
SimData584	1000050
SimData585	1000040
SimData586	2000080
SimData587	5000200
SimData588	10000400
SimData589	20000800
SimData59	1999920
SimData590	50002000
SimData591	100004000
SimData592	1000030
SimData593	1000020
SimData594	1000010
SimData595	1000000
SimData596	1000200
SimData597	1000180
SimData598	1000160
SimData599	1000140
SimData6	1000000
SimData60	4999800
SimData600	1000120
SimData601	1000100
SimData602	1000080
SimData603	2000160
SimData604	5000400
SimData605	10000800
SimData606	20001600
SimData607	50004000
SimData608	100008000
SimData609	1000060
SimData61	9999600
SimData610	1000040
SimData611	1000020
SimData612	1000000
SimData613	1000000
SimData614	1000000
SimData615	1000000
SimData616	1000000
SimData617	1000000
SimData618	1000000
SimData619	1000000
SimData62	19999200
SimData620	2000000
SimData621	5000000
SimData622	10000000
SimData623	20000000
SimData624	50000000
SimData625	100000000
SimData626	1000000
SimData627	1000000
SimData628	1000000
SimData629	1000000
SimData63	49998000
SimData630	999900
SimData631	999910
SimData632	999920
SimData633	999930
SimData634	999940
SimData635	999950
SimData636	999960
SimData637	1999920
SimData638	4999800
SimData639	9999600
SimData64	99996000
SimData640	19999200
SimData641	49998000
SimData642	99996000
SimData643	999970
SimData644	999980
SimData645	999990
SimData646	1000000
SimData647	1000000
SimData648	1000000
SimData649	1000000
SimData65	999970
SimData650	1000000
SimData651	1000000
SimData652	1000000
SimData653	1000000
SimData654	2000000
SimData655	5000000
SimData656	10000000
SimData657	20000000
SimData658	50000000
SimData659	100000000
SimData66	999980
SimData660	1000000
SimData661	1000000
SimData662	1000000
SimData663	1000000
SimData664	999900
SimData665	999910
SimData666	999920
SimData667	999930
SimData668	999940
SimData669	999950
SimData67	999990
SimData670	999960
SimData671	1999920
SimData672	4999800
SimData673	9999600
SimData674	19999200
SimData675	49998000
SimData676	99996000
SimData677	999970
SimData678	999980
SimData679	999990
SimData68	1000000
SimData680	1000000
SimData681	999900
SimData682	999910
SimData683	999920
SimData684	999930
SimData685	999940
SimData686	999950
SimData687	999960
SimData688	1999920
SimData689	4999800
SimData69	1000100
SimData690	9999600
SimData691	19999200
SimData692	49998000
SimData693	99996000
SimData694	999970
SimData695	999980
SimData696	999990
SimData697	1000000
SimData698	1000100
SimData699	1000090
SimData7	1000000
SimData70	1000090
SimData700	1000080
SimData701	1000070
SimData702	1000060
SimData703	1000050
SimData704	1000040
SimData705	2000080
SimData706	5000200
SimData707	10000400
SimData708	20000800
SimData709	50002000
SimData71	1000080
SimData710	100004000
SimData711	1000030
SimData712	1000020
SimData713	1000010
SimData714	1000000
SimData715	999900
SimData716	999910
SimData717	999920
SimData718	999930
SimData719	999940
SimData72	1000070
SimData720	999950
SimData721	999960
SimData722	1999920
SimData723	4999800
SimData724	9999600
SimData725	19999200
SimData726	49998000
SimData727	99996000
SimData728	999970
SimData729	999980
SimData73	1000060
SimData730	999990
SimData731	1000000
SimData732	1000000
SimData733	1000000
SimData734	1000000
SimData735	1000000
SimData736	1000000
SimData737	1000000
SimData738	1000000
SimData739	2000000
SimData74	1000050
SimData740	5000000
SimData741	10000000
SimData742	20000000
SimData743	50000000
SimData744	100000000
SimData745	1000000
SimData746	1000000
SimData747	1000000
SimData748	1000000
SimData749	1000000
SimData75	1000040
SimData750	1000000
SimData751	1000000
SimData752	1000000
SimData753	1000000
SimData754	1000000
SimData755	1000000
SimData756	2000000
SimData757	5000000
SimData758	10000000
SimData759	20000000
SimData76	2000080
SimData760	50000000
SimData761	100000000
SimData762	1000000
SimData763	1000000
SimData764	1000000
SimData765	1000000
SimData766	1000000
SimData767	1000000
SimData768	1000000
SimData769	1000000
SimData77	5000200
SimData770	1000000
SimData771	1000000
SimData772	1000000
SimData773	2000000
SimData774	5000000
SimData775	10000000
SimData776	20000000
SimData777	50000000
SimData778	100000000
SimData779	1000000
SimData78	10000400
SimData780	1000000
SimData781	1000000
SimData782	1000000
SimData783	1000000
SimData784	1000000
SimData785	1000000
SimData786	1000000
SimData787	1000000
SimData788	1000000
SimData789	1000000
SimData79	20000800
SimData790	2000000
SimData791	5000000
SimData792	10000000
SimData793	20000000
SimData794	50000000
SimData795	100000000
SimData796	1000000
SimData797	1000000
SimData798	1000000
SimData799	1000000
SimData8	2000000
SimData80	50002000
SimData800	1000000
SimData801	1000000
SimData802	1000000
SimData803	1000000
SimData804	1000000
SimData805	1000000
SimData806	1000000
SimData807	2000000
SimData808	5000000
SimData809	10000000
SimData81	100004000
SimData810	20000000
SimData811	50000000
SimData812	100000000
SimData813	1000000
SimData814	1000000
SimData815	1000000
SimData816	1000000
SimData817	999900
SimData818	999910
SimData819	999920
SimData82	1000030
SimData820	999930
